Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/19/2025,japanese cucumber ,195.0,,,10990,,,,household,Expenses:Food:Groceries,0.5344865595201712
9/19/2025,avocado ,300.0,,,10690,,,,household,Expenses:Food:Groceries,0.5191875661305559
9/19/2025,alugbati ,100.0,,,10590,,,,household,Expenses:Food:Groceries,0.3907308707329011
9/19/2025,bangus ,480.0,,,10110,,,,household,Expenses:Food:Groceries,0.4806336250514455
9/19/2025,french beans ,150.0,,,9960,,,,household,Expenses:Food:Groceries,0.5412790226901574
9/19/2025,pechay ,100.0,,,9860,,,,household,Expenses:Food:Groceries,0.2654118621904086
9/19/2025,curly lettuce ,200.0,,,9660,,,,household,Expenses:Food:Groceries,0.360993032533162
9/19/2025,cherry tomato ,180.0,,,9480,,,,household,Expenses:Food:Groceries,0.6340964053628321
9/19/2025,kinchay ,150.0,,,9330,,,,household,Expenses:Food:Groceries,0.2652335410617129
9/19/2025,kalabasa ,180.0,,,9150,,,,household,Expenses:Food:Groceries,0.3746536957681214
9/19/2025,carrots ,280.0,,,8870,,,,household,Expenses:Food:Groceries,0.4590587878183148
9/19/2025,asparagus ,450.0,,,8420,,,,household,Expenses:Food:Groceries,0.5018215827883884
9/19/2025,pomelo ,210.0,,,8210,,,,household,Expenses:Food:Groceries,0.5614178674074384
9/19/2025,galunggong ,280.0,,,7930,,,,household,Expenses:Food:Groceries,0.197066328401543
9/19/2025,upo ,120.0,,,7810,,,,household,Expenses:Food:Groceries,0.3750419641585539
9/19/2025,salted egg ,150.0,,,7660,,,,household,Expenses:Food:Groceries,0.6142585953246431
9/19/2025,pancit ,150.0,,,7510,,,,household,Expenses:Food:Groceries,0.197066328401543
9/19/2025,elmer salary ,1000.0,,,6510,,,,household,Expenses:Professional Fees,0.8043961746880711
9/19/2025,ara food allowance ,1000.0,,,5510,,,,household,Liabilities:Other:Ara Loan:Allowance,0.7526524479669621
9/19/2025,michelle food allowance ,1000.0,,,4510,,,,household,Liabilities:Other:Michelle Loan:Allowance,0.9847549554372133
9/19/2025,ritual ,1200.0,,,3310,,,,household,Expenses:Household Supplies,0.3411511941322496
9/19/2025,delivery fee ,200.0,,,3110,,,,household,Expenses:Professional Fees,0.871994723285006
9/19/2025,ARC ,960.0,,2150.0,2150,0.0,,,household,Expenses:Utilities:Drinking Water,0.8737263549888904
9/19/2025,withdraw ,,7000.0,,9150,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/22/2025,sand ,380.0,,,8770,,,,household,Expenses:Food:Groceries,0.197066328401543
9/22/2025,cement ,420.0,,,8350,,,,household,Expenses:Household Supplies,1.0
9/22/2025,red cement ,200.0,,,8150,,,,household,Expenses:Household Supplies,1.0
9/22/2025,taxi ,150.0,,,8000,,,,household,Expenses:Transportation:Public,0.9486514249573548
9/22/2025,fernando salary grease trap ,2000.0,,,6000,,,,household,Expenses:Professional Fees,1.0
9/23/2025,arugula ,250.0,,,5750,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,dill,95.0,,,5655,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,mozzarella ,355.0,,,5300,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,mozzarella block ,445.0,,,4855,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,onion leaks ,95.0,,,4760,,,,household,Expenses:Food:Groceries,0.655231635589738
9/23/2025,ground beef ,720.0,,,4040,,,,household,Expenses:Food:Groceries,0.4715478827278732
9/23/2025,ground pork ,590.0,,,3450,,,,household,Expenses:Food:Groceries,0.5443146664968979
9/23/2025,chicken breast ,325.0,,,3125,,,,household,Expenses:Food:Groceries,1.0
9/23/2025,canola oil ,270.0,,,2855,,,,household,Expenses:Food:Groceries,0.1975134643689234
9/23/2025,olive oil ,520.0,,,2335,,,,household,Expenses:Food:Groceries,0.1940387429253568
9/23/2025,mirin ,245.0,,,2090,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,oyster sauce ,175.0,,,1915,,,,household,Expenses:Food:Groceries,0.197066328401543
9/23/2025,withdraw,,5000.0,,6915,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/23/2025,santis raider ,250.0,,,6665,,,,household,Expenses:Professional Fees,1.0
9/23/2025,kalamata olives ,390.0,,,6275,,,,household,Expenses:Food:Groceries,0.4121729279085381
